Categorie,Reductiepotentieel relatief,Reductiepotentieel absoluut,Kosteninschatting
Bouw en winning grondstoffen: Mobiele werktuigen Stage IV,4,1,2
Industrie: Droge bulk en Container,2,2,2
Industrie: Tankopslagbedrijven,2,1,2
Industrie: Chemie,3,2,3
Industrie: Raffinaderijen,3,3,3
Industrie: Energiesector,3,3,3
Warmtelevering glastuinbouw,4,2,4
Landbouw en veehouderijen,2,4,2
Zeevaart: LNG,4,2,4
Zeevaart: Walstroom,4,4,5
Zeevaart: NECA,3,3,4
Binnenvaart: LNG,3,2,4
Binnenvaart: CCR-2,2,2,2
Wegverkeer: Euro6 en verder,3,1,3
Spoorverkeer: Alles elektrisch,3,1,2
Consumenten: Gasloos wonen,3,1,2
